sample_id,subject_id,timepoint,day,condition,group,A,B,C,D,E
GSM1219052,Patient_1,Baseline,0,Wound_Healing,Baseline,0.36030716833615106,0.3403914978140656,0.3317836813471873,0.3416336537168227,0.343504054734987
GSM1219055,Patient_2,Baseline,0,Wound_Healing,Baseline,0.36030716833615106,0.3403914978140656,0.3317836813471873,0.3416336537168227,0.343504054734987
GSM1219058,Patient_3,Baseline,0,Wound_Healing,Baseline,0.36030716833615106,0.3403914978140656,0.3317836813471873,0.3416336537168227,0.343504054734987
GSM1219061,Patient_4,Baseline,0,Wound_Healing,Baseline,0.36030716833615106,0.3403914978140656,0.3317836813471873,0.3416336537168227,0.343504054734987
GSM1219053,Patient_1,Day_14,14,Wound_Healing,Day_14,0.3610207871729901,0.3408250562013186,0.3319716183771077,0.34247857415513694,0.34430245959352346
GSM1219056,Patient_2,Day_14,14,Wound_Healing,Day_14,0.3610207871729901,0.3408250562013186,0.3319716183771077,0.34247857415513694,0.34430245959352346
GSM1219059,Patient_3,Day_14,14,Wound_Healing,Day_14,0.3610207871729901,0.3408250562013186,0.3319716183771077,0.34247857415513694,0.34430245959352346
GSM1219062,Patient_4,Day_14,14,Wound_Healing,Day_14,0.3610207871729901,0.3408250562013186,0.3319716183771077,0.34247857415513694,0.34430245959352346
GSM1219054,Patient_1,Day_21,21,Wound_Healing,Day_21,0.3608188317573774,0.3407367134117404,0.33202143813263535,0.3422485473422268,0.3441130370762256
GSM1219057,Patient_2,Day_21,21,Wound_Healing,Day_21,0.3608188317573774,0.3407367134117404,0.33202143813263535,0.3422485473422268,0.3441130370762256
GSM1219060,Patient_3,Day_21,21,Wound_Healing,Day_21,0.3608188317573774,0.3407367134117404,0.33202143813263535,0.3422485473422268,0.3441130370762256
GSM1219063,Patient_4,Day_21,21,Wound_Healing,Day_21,0.3608188317573774,0.3407367134117404,0.33202143813263535,0.3422485473422268,0.3441130370762256
