sample_id,System_A,System_B,System_C,System_D,System_E
GSM716451,420.92815513181085,586.4666867616379,1635.4909525225576,1105.197571324754,239.56400742677036
GSM716452,2791.3393348726604,1055.273113940615,3124.402476101457,2180.5801846521954,251.1091067385005
GSM716453,2403.921707004461,2957.505749246031,3605.4084761564536,1804.2154875573287,4045.1607337247297
GSM716454,1453.4514371266378,458.0187397502869,1985.51076927937,1575.1063434390671,589.8197957039556
GSM716455,1546.8289084776898,2857.0613873491293,1192.9056497570436,1526.2230669100118,3380.6504711633734
GSM716456,1059.7939386849391,747.9720879316483,428.0605586685433,1546.47526293372,-700.7706512299228
GSM716457,1577.1068466160596,-151.6724579348156,346.0358523047835,1667.9984743722507,-878.9636182868089
GSM716458,2057.3810738093143,3103.188385227377,1972.5416079712595,1882.8469839105453,3315.616061217956
GSM716459,99.4042727095657,339.29559867657736,521.3498895696848,548.7326853055056,-245.22587970169843
GSM716460,1748.964773375239,-493.0548700820018,2518.74801432369,1561.4468638339513,-2016.6826376861568
GSM716461,1136.8510237183964,2647.6833766122327,1553.8576959433012,1441.540383475407,2751.7696248692027
GSM716462,1320.7670717004912,919.8089437573052,1950.5478751175724,1648.7669078081217,338.1437691759311
GSM716463,2481.601357670752,-20.12972300067304,2499.090190871768,2009.669701550196,-687.7294464677889
GSM716464,2173.235787874395,2251.754733940192,2584.0981198118207,2214.760155337106,744.4099016142409
GSM716465,50.80118176880569,815.5252862692705,1376.167199111631,412.5271721900626,1777.0998602099007
GSM716466,2188.870762325714,3424.052954239484,1499.0721483579728,1169.825703623621,3858.821691928141
GSM716467,1904.0265541649896,3096.5139309371843,2079.321737661297,1413.6473675536854,3628.9956503971935
GSM716468,1183.055670887763,136.8986419453595,954.8707975868384,1339.122999560981,-665.0169227289734
GSM716469,1659.829742945998,-213.76006769853663,1172.626949773157,1392.7230017895508,-1227.705057067731
GSM716470,1486.2476559073891,3317.921947828627,1723.826584507513,1314.3594828551304,3151.144736027378
GSM716471,1866.048137593776,2830.954380227997,1484.02959055244,1579.31755027112,2837.640266676468
GSM716472,33.28052159728213,664.5594014784492,16.634375092926348,0.6859668858887744,1403.7875665663105
GSM716473,1387.05896162916,1591.216812074461,-272.9031042478018,1165.6349028396526,-667.9028357656989
GSM716474,1617.9755355610196,3705.5233914077617,1321.396939041586,974.4250997597574,3683.209492271675
GSM716475,1358.7674705706831,2691.623438177283,2383.401073128176,1309.2639966829863,3128.935008526761
