sample_id,group
GSM716451,Intact
GSM716452,Acute
GSM716453,Day3
GSM716454,Intact
GSM716455,Day3
GSM716456,Intact
GSM716457,Acute
GSM716458,Day3
GSM716459,Intact
GSM716460,Acute
GSM716461,Day7
GSM716462,Intact
GSM716463,Acute
GSM716464,Day7
GSM716465,Intact
GSM716466,Day3
GSM716467,Day7
GSM716468,Intact
GSM716469,Acute
GSM716470,Day3
GSM716471,Day7
GSM716472,Intact
GSM716473,Acute
GSM716474,Day3
GSM716475,Day7
