Name,Term,ES,NES
"""GSM716453""",System E,4045.1607337247297,0.6673152844566526
"""GSM716466""",System E,3858.8216919281404,0.6365756182562012
"""GSM716474""",System B,3705.5233914077617,0.611286561590143
"""GSM716474""",System E,3683.209492271675,0.6076055197405096
"""GSM716467""",System E,3628.9956503971935,0.5986620616943702
"""GSM716453""",System C,3605.4084761564536,0.5947709723349878
"""GSM716466""",System B,3424.0529542394834,0.5648534190751515
"""GSM716455""",System E,3380.6504711633734,0.5576934711159538
"""GSM716470""",System B,3317.921947828627,0.5473453773940689
"""GSM716458""",System E,3315.6160612179556,0.5469649837630578
"""GSM716470""",System E,3151.144736027378,0.5198327543217193
"""GSM716475""",System E,3128.9350085267615,0.5161688972835512
"""GSM716452""",System C,3124.402476101457,0.5154211820841317
"""GSM716458""",System B,3103.188385227377,0.5119215715573847
"""GSM716467""",System B,3096.5139309371843,0.5108205113878543
"""GSM716453""",System B,2957.505749246031,0.4878888430529796
"""GSM716455""",System B,2857.0613873491293,0.4713189061967056
"""GSM716471""",System E,2837.640266676468,0.4681150753679092
"""GSM716471""",System B,2830.954380227997,0.4670121292772854
"""GSM716452""",System A,2791.3393348726604,0.46047698098523776
"""GSM716461""",System E,2751.7696248692027,0.45394931149940476
"""GSM716475""",System B,2691.623438177283,0.44402721635330056
"""GSM716461""",System B,2647.6833766122327,0.4367785860484857
"""GSM716464""",System C,2584.0981198118207,0.42628916015861607
"""GSM716460""",System C,2518.74801432369,0.4155085936734545
"""GSM716463""",System C,2499.090190871768,0.4122657148579719
"""GSM716463""",System A,2481.601357670752,0.40938064638465943
"""GSM716453""",System A,2403.9217070044615,0.39656612019075504
"""GSM716475""",System C,2383.401073128176,0.3931809067137679
"""GSM716464""",System B,2251.7547339401917,0.3714636944530783
"""GSM716464""",System D,2214.760155337106,0.3653608349206857
"""GSM716466""",System A,2188.870762325714,0.36108995700036656
"""GSM716452""",System D,2180.5801846521954,0.35972229090186275
"""GSM716464""",System A,2173.235787874395,0.3585107127848104
"""GSM716467""",System C,2079.3217376612974,0.3430180574225787
"""GSM716458""",System A,2057.3810738093143,0.3393985868246644
"""GSM716460""",System E,-2016.6826376861572,-0.33268471554334744
"""GSM716463""",System D,2009.669701550196,0.33152781726896513
"""GSM716454""",System C,1985.51076927937,0.32754240709080623
"""GSM716458""",System C,1972.5416079712595,0.32540293226219613
"""GSM716462""",System C,1950.5478751175724,0.3217747070663069
"""GSM716467""",System A,1904.0265541649896,0.31410025589655405
"""GSM716458""",System D,1882.8469839105455,0.3106063401094303
"""GSM716471""",System A,1866.0481375937761,0.3078350962340117
"""GSM716453""",System D,1804.2154875573287,0.29763479143430915
"""GSM716465""",System E,1777.0998602099007,0.293161626146781
"""GSM716460""",System A,1748.964773375239,0.2885202843781445
"""GSM716470""",System C,1723.826584507513,0.2843733298417927
"""GSM716457""",System D,1667.9984743722507,0.2751635718994214
"""GSM716469""",System A,1659.829742945998,0.27381600632806763
"""GSM716462""",System D,1648.7669078081217,0.2719910111145569
"""GSM716451""",System C,1635.4909525225576,0.269800925612154
"""GSM716474""",System A,1617.9755355610196,0.26691147171366747
"""GSM716473""",System B,1591.216812074461,0.2624971835430494
"""GSM716471""",System D,1579.3175502711201,0.2605342060996762
"""GSM716457""",System A,1577.1068466160596,0.26016951445068265
"""GSM716454""",System D,1575.1063434390671,0.2598394988012471
"""GSM716460""",System D,1561.4468638339513,0.2575861447027996
"""GSM716461""",System C,1553.8576959433012,0.25633418759575155
"""GSM716455""",System A,1546.8289084776898,0.2551746743858324
"""GSM716456""",System D,1546.47526293372,0.25511633478147416
"""GSM716455""",System D,1526.2230669100118,0.2517754045094677
"""GSM716466""",System C,1499.0721483579728,0.24729641736174807
"""GSM716470""",System A,1486.2476559073893,0.2451808080223404
"""GSM716471""",System C,1484.02959055244,0.2448149019407992
"""GSM716454""",System A,1453.4514371266378,0.23977053646444657
"""GSM716461""",System D,1441.540383475407,0.23780561376330814
"""GSM716467""",System D,1413.6473675536854,0.23320420554262203
"""GSM716472""",System E,1403.7875665663105,0.23157767044706412
"""GSM716469""",System D,1392.7230017895508,0.22975238990139005
"""GSM716473""",System A,1387.05896162916,0.22881801403362945
"""GSM716465""",System C,1376.167199111631,0.22702124004093652
"""GSM716475""",System A,1358.7674705706831,0.22415087083558735
"""GSM716468""",System D,1339.122999560981,0.22091019472337534
"""GSM716474""",System C,1321.396939041586,0.217985991732088
"""GSM716462""",System A,1320.7670717004912,0.2178820848340534
"""GSM716470""",System D,1314.3594828551304,0.2168250484751827
"""GSM716475""",System D,1309.2639966829865,0.21598446486720374
"""GSM716469""",System E,-1227.705057067731,-0.202529986646947
"""GSM716455""",System C,1192.9056497570436,0.19678925644682177
"""GSM716468""",System A,1183.055670887763,0.19516434166995117
"""GSM716469""",System C,1172.6269497731573,0.19344395391401045
"""GSM716466""",System D,1169.825703623621,0.19298184264225643
"""GSM716473""",System D,1165.6349028396526,0.19229050165450784
"""GSM716461""",System A,1136.8510237183964,0.18754213100920086
"""GSM716451""",System D,1105.1975713247539,0.18232037741805268
"""GSM716456""",System A,1059.7939386849393,0.17483030717738152
"""GSM716452""",System B,1055.273113940615,0.17408452335102176
"""GSM716474""",System D,974.4250997597574,0.16074732388424628
"""GSM716468""",System C,954.8707975868383,0.15752152259331526
"""GSM716462""",System B,919.8089437573053,0.15173749755649343
"""GSM716457""",System E,-878.9636182868089,-0.14499939447993873
"""GSM716465""",System B,815.5252862692705,0.13453420623097656
"""GSM716456""",System B,747.9720879316483,0.12339020362341672
"""GSM716464""",System E,744.4099016142409,0.1228025628516001
"""GSM716456""",System E,-700.7706512299228,-0.11560355626061306
"""GSM716463""",System E,-687.7294464677889,-0.11345219668843418
"""GSM716473""",System E,-667.9028357656989,-0.11018147366124462
"""GSM716468""",System E,-665.0169227289734,-0.10970539520459295
"""GSM716472""",System B,664.5594014784492,0.10962991960707388
"""GSM716454""",System E,589.8197957039556,0.09730040180280602
"""GSM716451""",System B,586.4666867616379,0.09674725175638091
"""GSM716459""",System D,548.7326853055056,0.09052241235619202
"""GSM716459""",System C,521.3498895696848,0.08600517328251939
"""GSM716460""",System B,-493.0548700820018,-0.08133744801249193
"""GSM716454""",System B,458.01873975028684,0.07555766648647068
"""GSM716456""",System C,428.0605586685433,0.07061557556689438
"""GSM716451""",System A,420.92815513181085,0.06943896919491675
"""GSM716465""",System D,412.52717219006263,0.06805308994548426
"""GSM716457""",System C,346.0358523047835,0.05708426151965125
"""GSM716459""",System B,339.29559867657736,0.055972346675398625
"""GSM716462""",System E,338.1437691759311,0.055782333600155116
"""GSM716473""",System C,-272.9031042478018,-0.04501982112155497
"""GSM716452""",System E,251.1091067385005,0.04142454553062052
"""GSM716459""",System E,-245.22587970169843,-0.04045401121022736
"""GSM716451""",System E,239.56400742677033,0.0395199929705561
"""GSM716469""",System B,-213.76006769853666,-0.03526321196398452
"""GSM716457""",System B,-151.6724579348156,-0.025020847396047784
"""GSM716468""",System B,136.8986419453595,0.022583665323819887
"""GSM716459""",System A,99.4042727095657,0.016398357169434663
"""GSM716465""",System A,50.80118176880569,0.008380484063378525
"""GSM716472""",System A,33.28052159728213,0.005490165211829967
"""GSM716463""",System B,-20.12972300067304,-0.0033207263479636674
"""GSM716472""",System C,16.634375092926348,0.002744111662696213
"""GSM716472""",System D,0.6859668858887744,0.00011316143355401749
