System,Mean,Std,Min,Max,Median
System C,1586.2596967586019,922.4797625038434,-272.9031042478018,3605.4084761564536,1553.8576959433012
System B,1572.808074762515,1345.29843656385,-493.0548700820018,3705.5233914077617,1055.273113940615
System A,1480.3015153489998,719.8486546659406,33.28052159728213,2791.3393348726604,1546.8289084776898
System D,1391.4037326569041,504.1628460760217,0.6859668858887744,2214.760155337106,1441.540383475407
System E,1281.435227812148,1889.2216193840577,-2016.6826376861572,4045.1607337247297,744.4099016142409
