Term,GSM716451,GSM716452,GSM716453,GSM716454,GSM716455,GSM716456,GSM716457,GSM716458,GSM716459,GSM716460,GSM716461,GSM716462,GSM716463,GSM716464,GSM716465,GSM716466,GSM716467,GSM716468,GSM716469,GSM716470,GSM716471,GSM716472,GSM716473,GSM716474,GSM716475
System A,420.92815513181085,2791.3393348726604,2403.9217070044615,1453.4514371266378,1546.8289084776898,1059.7939386849393,1577.1068466160596,2057.3810738093143,99.4042727095657,1748.964773375239,1136.8510237183964,1320.7670717004912,2481.601357670752,2173.235787874395,50.80118176880569,2188.870762325714,1904.0265541649896,1183.055670887763,1659.829742945998,1486.2476559073893,1866.0481375937761,33.28052159728213,1387.05896162916,1617.9755355610196,1358.7674705706831
System B,586.4666867616379,1055.273113940615,2957.505749246031,458.01873975028684,2857.0613873491293,747.9720879316483,-151.6724579348156,3103.188385227377,339.29559867657736,-493.0548700820018,2647.6833766122327,919.8089437573053,-20.12972300067304,2251.7547339401917,815.5252862692705,3424.0529542394834,3096.5139309371843,136.8986419453595,-213.76006769853666,3317.921947828627,2830.954380227997,664.5594014784492,1591.216812074461,3705.5233914077617,2691.623438177283
System C,1635.4909525225576,3124.402476101457,3605.4084761564536,1985.51076927937,1192.9056497570436,428.0605586685433,346.0358523047835,1972.5416079712595,521.3498895696848,2518.74801432369,1553.8576959433012,1950.5478751175724,2499.090190871768,2584.0981198118207,1376.167199111631,1499.0721483579728,2079.3217376612974,954.8707975868383,1172.6269497731573,1723.826584507513,1484.02959055244,16.634375092926348,-272.9031042478018,1321.396939041586,2383.401073128176
System D,1105.1975713247539,2180.5801846521954,1804.2154875573287,1575.1063434390671,1526.2230669100118,1546.47526293372,1667.9984743722507,1882.8469839105455,548.7326853055056,1561.4468638339513,1441.540383475407,1648.7669078081217,2009.669701550196,2214.760155337106,412.52717219006263,1169.825703623621,1413.6473675536854,1339.122999560981,1392.7230017895508,1314.3594828551304,1579.3175502711201,0.6859668858887744,1165.6349028396526,974.4250997597574,1309.2639966829865
System E,239.56400742677033,251.1091067385005,4045.1607337247297,589.8197957039556,3380.6504711633734,-700.7706512299228,-878.9636182868089,3315.6160612179556,-245.22587970169843,-2016.6826376861572,2751.7696248692027,338.1437691759311,-687.7294464677889,744.4099016142409,1777.0998602099007,3858.8216919281404,3628.9956503971935,-665.0169227289734,-1227.705057067731,3151.144736027378,2837.640266676468,1403.7875665663105,-667.9028357656989,3683.209492271675,3128.9350085267615
