System,Mean,Std,Min,Max,Median
System A,1745.9307005412556,62.84267549377221,1328.8999029934448,1960.4265961678657,1748.5093439636512
System B,1571.654460005591,80.17504889287234,1084.7508367950622,1802.9774186145232,1579.1076145832335
System D,876.3345913978274,96.28931950684157,202.61347679397295,1110.1363098629427,885.1067114413436
System C,874.7837351419122,92.34851159256397,559.1422507301368,1316.3518043240601,872.329295125005
System E,609.014316653895,148.7658486052917,259.0438430724471,1527.2958936719415,591.8486249556308
