n_components,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,explained_variance,auc_mean,auc_std
5,1.0,0.0,1.0,0.0,0.6687807033415538,1.0,0.0
10,1.0,0.0,1.0,0.0,0.9157738020525125,1.0,0.0
