feature,importance
C1,0.07668195435138504
A3,0.06446634137058344
A4,0.06355838128320788
C,0.06286170874488968
D2,0.06148923611648792
A2,0.0574628420817967
C2,0.05600418193491209
A,0.05581278187093289
E1,0.05476804023104836
A1,0.0524373718707665
B1,0.0496790074357346
E,0.04677002395411387
E2,0.04600886230678086
B,0.0438007034124397
B3,0.043071551276085376
C3,0.042889673208217606
D,0.04205942842273698
B2,0.04135724746613616
D1,0.038820662661744325
