,no_relapse_mean,no_relapse_std,relapse_mean,relapse_std,difference,fold_change,t_statistic,p_value,cohens_d,auc,significant,effect_size_interpretation
A,0.2794557867227058,0.006185377581787667,0.2808508190445988,0.005957320863375457,0.001395032321892975,1.0049919607614968,1.646211975505013,0.10082625678376546,0.22751726633491115,0.5745007680491552,False,Small
B,0.28430926172431464,0.004547060268428401,0.2854490404306448,0.00440937154628877,0.0011397787063301412,1.004008939770085,1.8267734407950367,0.06878338822284795,0.2524720422686784,0.5902624724504107,False,Small
C,0.34518080904383325,0.004772947373347405,0.3460392782241371,0.004432933289855616,0.0008584691803038558,1.002487013060436,1.3233462409221692,0.18678462353773487,0.18289510927462926,0.5510585720964403,False,Negligible
D,0.3062769218688372,0.004362352312315892,0.3073292472439106,0.004232110487857933,0.0010523253750733819,1.0034358624497475,1.7578454492047662,0.07985108071367639,0.24294574282855735,0.5855873906364789,False,Small
E,0.28194073982145423,0.004930066288731279,0.28318269197719803,0.004775260877393159,0.0012419521557437974,1.0044050113386604,1.8363753253570372,0.06734730126317774,0.25379908554118275,0.5893942429706805,False,Small
