dataset_id,name,chinese_name,disease_type,expected_strategy,expected_systems,description,platform,n_samples,pub_date,gdstype
GSE317424,Transcriptional PanCancer pathways of localized early prostate cancer,Transcriptional PanCancer pathways of lo,cancer,subtype_comparison,"['System A', 'System B']",The management of intermediate-risk early prostate cancer (PCa) is challenging due to the difficulty in distinguishing i,33084,51,,Expression profiling by array
GSE317416,Transcriptional Cancer Immune pathways of localized early prostate cancer,Transcriptional Cancer Immune pathways o,cancer,subtype_comparison,"['System A', 'System B']",The management of intermediate-risk early prostate cancer (PCa) is challenging due to the difficulty in distinguishing i,32232,51,,Expression profiling by array
GSE317465,Type I interferon responses mediated by CD14⁺ monocytes drive CD4⁺ T-cell activa,Type I interferon responses mediated by ,neurodegenerative,case_control,"['System D', 'System A']",T-cell activation is a key feature of chronic HIV infection and is predictive of non-AIDS-defining comorbidities in peop,32993,24,,Expression profiling by array
GSE315861,Targeted innate immune inhibition therapy compared to antibiotics for recurrent ,Targeted innate immune inhibition therap,neurodegenerative,case_control,"['System D', 'System A']",Cystitis is a bacterial infection of the bladder that occurs in about half of women at least once in their lifetime. Ant,24324,83,,Expression profiling by array
GSE294567,Comprehensive analysis of tonsillar gene expression and the tonsillar microbiota,Comprehensive analysis of tonsillar gene,infection,case_control,"['System B', 'System C']",Background: Tonsillectomy improves or cures symptoms in patients with palmoplantar pustulosis (PPP) and suppresses disea,21185,40,,Expression profiling by array
GSE298999,Kidney transcriptomic profiling of immune-related genes in ANCA-associated vascu,Kidney transcriptomic profiling of immun,metabolic,case_control,"['System C', 'System D']",Introduction. ANCA-associated vasculitis with glomerulonephritis (AAV-GN) frequently progresses to kidney failure. Howev,34817,224,,Expression profiling by array
GSE287422,Coexpression of MYCN and ALK Induces Neuroblastoma-Like Tumors From Human iPS Ce,Coexpression of MYCN and ALK Induces Neu,cancer,subtype_comparison,"['System A', 'System B']","Neuroblastoma is a pediatric solid tumor originating from neural crest cells, which are precursors of the sympathetic ne",17077,30,,Expression profiling by array
GSE303670,Improving the histologic detection of DSA-negative antibody-mediated rejection i,Improving the histologic detection of DS,metabolic,case_control,"['System C', 'System D']","Emerging treatments for antibody-mediated rejection (ABMR, NEJM391(2):122-132) have increased the importance of ABMR det",15207,690,,Expression profiling by array
GSE294726,Influenza A virus modulation of Streptococcus pneumoniae infection using ex vivo,Influenza A virus modulation of Streptoc,infection,case_control,"['System B', 'System C']","Nanostring quantification of 76 pneumococcal probes representing 72 genes, for Streptococcus pneumoniae EF3030 (wildtype",35757,23,,Expression profiling by array
GSE306513,CCL18 as a immunosuppressive biomarker for prognosis in ABC diffuse large B-cell,CCL18 as a immunosuppressive biomarker f,cancer,subtype_comparison,"['System A', 'System B']",Objective: decipher TME of ABC lymphomas to describe new biomarkers and treatment strategies. Methods: We analyzed 43 DL,36184,43,,Expression profiling by array
GSE297461,AML PATIENTS WITH WILDTYPE TP53 AND DEFECTIVE TP53-MEDIATED APOPTOSIS HAVE A DIS,AML PATIENTS WITH WILDTYPE TP53 AND DEFE,cancer,subtype_comparison,"['System A', 'System B']","The survival of 10% of patients with acute myelogenous leukemia (AML) carrying mutations in TP53 is dismal. Here, we est",6244,60,,Expression profiling by array
GSE222333,Alzheimer’s disease neuroinflammatory risk genes can be targeted with RNase-H ac,Alzheimer’s disease neuroinflammatory ri,neurodegenerative,case_control,"['System D', 'System A']",This SuperSeries is composed of the SubSeries listed below.,31262;32995,189,,Expression profiling by array
GSE222332,Alzheimer’s disease neuroinflammatory risk genes can be targeted with RNase-H ac,Alzheimer’s disease neuroinflammatory ri,neurodegenerative,case_control,"['System D', 'System A']",Microglia play important roles in maintaining brain homeostasis. The discovery of genetic variants in the genes encoding,31262,81,,Expression profiling by array
GSE222331,Alzheimer’s disease neuroinflammatory risk genes can be targeted with RNase-H ac,Alzheimer’s disease neuroinflammatory ri,neurodegenerative,case_control,"['System D', 'System A']",Microglia play important roles in maintaining brain homeostasis. The discovery of genetic variants in the genes encoding,32995,108,,Expression profiling by array
GSE300858,Gene expression profiling of surgically treated pancreatic cancer patients using,Gene expression profiling of surgically ,cancer,subtype_comparison,"['System A', 'System B']",Differential expression analysis of 770 genes in the tumor component of pancreatic cancer.,30235,24,,Expression profiling by array
GSE288609,Early malaria immune signatures in naïve adults experimentally infected with P.f,Early malaria immune signatures in naïve,other,case_control,"['System A', 'System B']",The immune response to Plasmodium falciparum (Pf) is complex and varies across individuals. A controlled human malaria i,17692,88,,Expression profiling by array
GSE237290,Immune gene expression profiling to inform individualized treatment of early-sta,Immune gene expression profiling to info,cancer,subtype_comparison,"['System A', 'System B']",A gene expression-based positive prognostic marker for early-stage basal-like breast cancer was proposed based on expres,33583,57,,Expression profiling by array
GSE46102,Gene expression profile of PBMCs in lung transplants with BOS and those without ,Gene expression profile of PBMCs in lung,other,case_control,"['System A', 'System B']",Gene expression profiling was performed in PBMCs collected from 26 lung transplant recipients at 3 and 10 months after t,10558,60,,Expression profiling by array
GSE313951,Ancestry-Linked IL-10 Signaling and Macrophage Activation Modulate Fibroblast Re,Ancestry-Linked IL-10 Signaling and Macr,neurodegenerative,case_control,"['System D', 'System A']","Fibroblast responses to injury are shaped by cytokine signaling and macrophage activation, yet the extent to which these",32383,24,,Expression profiling by array
GSE268041,Expression data from human lungs at cold ischemic time (CIT) and 2 hrs. after re,Expression data from human lungs at cold,other,case_control,"['System A', 'System B']",Ischemia-reperfusion (IR) in lung transplantation activates genes in inate inflammation and cell death. Multiple program,20182,108,,Expression profiling by array
GSE290167,Archetypal Analysis of Deceased Donor Kidneys: A Molecular Approach for Posttran,Archetypal Analysis of Deceased Donor Ki,metabolic,case_control,"['System C', 'System D']","This prospective, single-center study (NCT06171438) included 276 kidneys from 174 deceased donors. Donor procurement bio",15207,276,,Expression profiling by array
GSE313289,Understanding tumor heterogeneity in HNSCC by gene-expression,Understanding tumor heterogeneity in HNS,cancer,subtype_comparison,"['System A', 'System B']",Head and neck squamous cell carcinoma (HNSCC) encompasses a heterogeneous group of distinct malignancies. Established pr,23126,100,,Expression profiling by array
GSE288248,Prostate Cancer In Situ Autovaccination With the Intratumoral Viral Mimic Poly-I,Prostate Cancer In Situ Autovaccination ,cancer,subtype_comparison,"['System A', 'System B']",Gene expression study of the poly-ICLC Phase II clinical trial,5175,24,,Expression profiling by array
