,ad_mean,control_mean,difference,fold_change,t_statistic,p_value,significant
A,0.15401194926842351,0.15489527709185813,-0.0008833278234346154,0.9942972578633836,-3.2646105859833545,0.001391432616452709,True
B,0.09347844682619515,0.0941165192921924,-0.0006380724659972581,0.9932203988120692,-3.005860538811814,0.0031625426787311338,True
C,0.10903625634371956,0.10997478648013509,-0.0009385301364155246,0.9914659517289897,-3.019951426550804,0.0030280862763033952,True
D,0.0966070650524284,0.09765361491424983,-0.0010465498618214275,0.9892830402362431,-2.7992896484947276,0.0058783017069170655,True
E,0.11392069147685054,0.11453535528679915,-0.0006146638099486096,0.9946334142116251,-3.0418883689066543,0.002829221061207903,True
