,sample_count,system_means,dominant_system,dominant_score
Alzheimer's disease,56,"{'A': 0.154134494376526, 'B': 0.09358787060017214, 'C': 0.10919537700791324, 'D': 0.09681541899479117, 'E': 0.11402798769874692}",A,0.154134494376526
Control,44,"{'A': 0.15489527709185813, 'B': 0.0941165192921924, 'C': 0.10997478648013509, 'D': 0.09765361491424983, 'E': 0.11453535528679915}",A,0.15489527709185813
Vascular dementia,36,"{'A': 0.15382132354470848, 'B': 0.09330823206667542, 'C': 0.10878873531052945, 'D': 0.09628295891986409, 'E': 0.11375378624278946}",A,0.15382132354470848
