system,ad_mean,ad_std,ad_median,control_mean,control_std,control_median,difference,fold_change,ad_samples,control_samples
A,0.15401194926842351,0.0017224276311510482,0.1544669306451183,0.15489527709185813,0.0007157400901368982,0.15514453841960285,-0.0008833278234346154,0.9942972578633836,92,44
B,0.09347844682619515,0.0013324661990787154,0.0935448063636144,0.0941165192921924,0.0006498243854065166,0.0943784283002817,-0.0006380724659972581,0.9932203988120692,92,44
C,0.10903625634371956,0.001954206372520174,0.10934407609856675,0.10997478648013509,0.0009362569191103001,0.11010734022826951,-0.0009385301364155246,0.9914659517289897,92,44
D,0.0966070650524284,0.002344070098830824,0.0967190977101349,0.09765361491424983,0.0011560473568485979,0.09813491304308135,-0.0010465498618214275,0.9892830402362431,92,44
E,0.11392069147685054,0.0012824442533780453,0.11408349229517395,0.11453535528679915,0.0005538114860660204,0.11466850051833645,-0.0006146638099486096,0.9946334142116251,92,44
