system,ad_cv,control_cv,cv_difference
A,0.011183727232418004,0.004620799959655582,0.0065629272727624225
B,0.014254261215488263,0.006904466827859239,0.007349794387629024
C,0.017922537310524008,0.008513377921214857,0.009409159389309151
D,0.024263961414816848,0.011838244368769445,0.012425717046047403
E,0.011257342601705037,0.004835288498291761,0.006422054103413275
