,A,B,C,D,E
A,1.0,0.9853618115189464,0.9876707010809124,0.9797922388010535,0.9841356391591255
B,0.9853618115189464,1.0,0.991486534051865,0.9948010458817849,0.9912874409768047
C,0.9876707010809124,0.991486534051865,1.0,0.9946034466979583,0.9887198222030408
D,0.9797922388010535,0.9948010458817849,0.9946034466979583,1.0,0.988438895330156
E,0.9841356391591255,0.9912874409768047,0.9887198222030408,0.988438895330156,1.0
