,mean,std,min,max,cv,range
A,0.28448945010174653,0.008928685063797294,0.2703922936179567,0.2913195687014159,0.031384942607200324,0.020927275083459207
B,0.2554339116698486,0.010228730351985554,0.2398815566249592,0.2631141137224593,0.04004452770236049,0.023232557097500106
C,0.24604497301884057,0.009138198402471862,0.2309813782811483,0.2531916022011135,0.03714035808312213,0.02221022391996519
D,0.24289857236972076,0.00953697595149757,0.2280123616808817,0.2502115158885985,0.03926320298408814,0.022199154207716815
E,0.24440682838753527,0.009435753684701283,0.2299077228815541,0.2518215697020981,0.03860675148461812,0.021913846820544036
