System,System_Name,Mean,Std,Min,Max,Median,CV,Skewness,Kurtosis,Range,Q1,Q3,IQR,Rank
A,Growth & Development,0.28448945010174653,0.008928685063797294,0.2703922936179567,0.2913195687014159,0.29022871706884,0.031384942607200324,-0.7574493878185313,-1.5405796434061687,0.020927275083459207,0.272578785270539,0.29080259949378,0.018223814223240986,1
B,Immune & Defense,0.2554339116698486,0.010228730351985554,0.2398815566249592,0.2631141137224593,0.26225430197402433,0.04004452770236049,-0.7561761821654079,-1.5543212667093684,0.023232557097500106,0.2415563563582209,0.26261057285738615,0.02105421649916525,2
C,Metabolism,0.24604497301884057,0.009138198402471862,0.2309813782811483,0.2531916022011135,0.25195106689446406,0.03714035808312213,-0.7613542101288638,-1.5199249888156572,0.02221022391996519,0.2339855900945404,0.2524749211784829,0.018489331083942517,3
E,Structural & Transport,0.24440682838753527,0.009435753684701283,0.2299077228815541,0.2518215697020981,0.25058777077981814,0.03860675148461812,-0.7538434760040185,-1.5515508828335516,0.021913846820544036,0.231753809840654,0.250989303161821,0.019235493321167002,4
D,Information Processing,0.24289857236972076,0.00953697595149757,0.2280123616808817,0.2502115158885985,0.2490975175107858,0.03926320298408814,-0.7550638756080764,-1.54747396001232,0.022199154207716815,0.2300774776046783,0.24967850740398284,0.01960102979930453,5
