,A,B,C,D,E
A,1.0,0.9997310232291439,0.9997678640498988,0.9998961473726955,0.9997944878354638
B,0.9997310232291439,1.0,0.9992669990388218,0.9998035657364145,0.9998215129880074
C,0.9997678640498988,0.9992669990388218,1.0,0.9997186371124356,0.9995040663989022
D,0.9998961473726955,0.9998035657364145,0.9997186371124356,1.0,0.9998234587511984
E,0.9997944878354638,0.9998215129880074,0.9995040663989022,0.9998234587511984,1.0
