gene,pc1_loading,abs_loading
RP13-11B7.1,0.014099009823298819,0.014099009823298819
GDF11,0.01408244593806539,0.01408244593806539
MARK4,0.01404710262812634,0.01404710262812634
VBP1,0.01397428125065596,0.01397428125065596
SS18L1,0.013916220709856049,0.013916220709856049
LGI4,0.01391271344474767,0.01391271344474767
IPMK,0.013907476559413047,0.013907476559413047
BMP3,0.013894297513880974,0.013894297513880974
CYSLTR2,0.013892516667369155,0.013892516667369155
CACNA1C,0.013886384202684085,0.013886384202684085
HMOX2,0.013877155312224386,0.013877155312224386
ZNF343,0.013861526529062482,0.013861526529062482
FREM1,0.013838305382826457,0.013838305382826457
PTPRU,0.013819274905099472,0.013819274905099472
GPR143,0.013810129634448018,0.013810129634448018
OR8G2,0.013809889303691618,0.013809889303691618
GPR156,0.013806594132659823,0.013806594132659823
BARHL2,0.01379452278443108,0.01379452278443108
OR7G2,0.013788893694037352,0.013788893694037352
EME1,0.013781655312594161,0.013781655312594161
SH3PXD2B,0.013780212777299267,0.013780212777299267
PRR3,0.013768492134685745,0.013768492134685745
SIRT3,0.013768379774061527,0.013768379774061527
AMOTL2,0.013766942698388086,0.013766942698388086
KIAA1924,0.013762851838943603,0.013762851838943603
NDUFAF1,0.013747573371511118,0.013747573371511118
GAL3ST4,0.013746789379599337,0.013746789379599337
ARF6,0.013742837146344201,0.013742837146344201
FADS6,0.013741138358724335,0.013741138358724335
KCNK15,0.013740936199548939,0.013740936199548939
CAPN13,0.013737709737255223,0.013737709737255223
EPB41L4B,0.013736423681244203,0.013736423681244203
LOC144097,0.013734564043106957,0.013734564043106957
RNF122,0.013732964545344882,0.013732964545344882
ZHX3,0.013722922892692295,0.013722922892692295
PCDH12,0.013720562503008253,0.013720562503008253
HRASLS2,0.01370775058083307,0.01370775058083307
ECM1,0.01370126976137283,0.01370126976137283
LOC442582,0.013698282570313178,0.013698282570313178
LILRA4,0.013697597575769561,0.013697597575769561
SENP3,0.01368033221831782,0.01368033221831782
SFPQ,0.013668942688370185,0.013668942688370185
PA2G4P4,0.013668169985935905,0.013668169985935905
GFER,0.01366364028047795,0.01366364028047795
C17orf47,0.013658982109652997,0.013658982109652997
RPP14,0.013655673237144752,0.013655673237144752
CXXC4,0.013655471476485305,0.013655471476485305
KRTAP10-5,0.013655465550111203,0.013655465550111203
ZNF454,0.01365175974804682,0.01365175974804682
C9orf37,0.013647213861081503,0.013647213861081503
FLJ39779,0.013644463570716117,0.013644463570716117
MAGEB2,0.013641933740125437,0.013641933740125437
GPC2,0.013641631789250036,0.013641631789250036
TBX21,0.013625211697108414,0.013625211697108414
PCTK2,0.013607094434295867,0.013607094434295867
ABI3BP,0.013605923053449532,0.013605923053449532
OR2L3,0.01360402028281464,0.01360402028281464
C1orf192,0.013603924231060634,0.013603924231060634
FLJ45422,0.013602776745283958,0.013602776745283958
SPIN-2,0.013602516904683512,0.013602516904683512
MIA,0.013600455161565482,0.013600455161565482
SLC45A2,0.013596586860662957,0.013596586860662957
SNAPAP,0.013591479346372984,0.013591479346372984
ZBTB3,0.013590695667179088,0.013590695667179088
C14orf11,-0.013586484718048483,0.013586484718048483
CABLES1,0.013578001376873436,0.013578001376873436
SLC13A5,0.013577311749956111,0.013577311749956111
DSCR4,0.013573846976626426,0.013573846976626426
DLC1,0.013570417624411947,0.013570417624411947
SNF8,0.013567541456910307,0.013567541456910307
ANGPTL4,0.013565132615616792,0.013565132615616792
LOC728137,0.013563129290601628,0.013563129290601628
FLJ25410,0.01356211306174958,0.01356211306174958
GALGT,0.013552853958962233,0.013552853958962233
GRIN2B,0.013551549204102377,0.013551549204102377
TRIM63,0.013547408298115725,0.013547408298115725
C2orf3,0.013546904034547355,0.013546904034547355
COL4A2,0.013546517226878413,0.013546517226878413
FOXE3,0.013542213205350304,0.013542213205350304
FLJ46836,0.013541862549478785,0.013541862549478785
CD84,0.013540007139666273,0.013540007139666273
ARHGEF10L,0.013536551575830775,0.013536551575830775
PLK3,0.013534491028868343,0.013534491028868343
FLJ25421,0.013525191259216706,0.013525191259216706
LOC144363,0.013523608415250852,0.013523608415250852
TIGD3,0.013522064733213806,0.013522064733213806
RIBC1,0.01351806710474062,0.01351806710474062
WNT9B,0.013517760527949639,0.013517760527949639
ADAM12,0.013514763702831747,0.013514763702831747
PAX3,0.01351415008820275,0.01351415008820275
TAF5L,-0.013508835848457173,0.013508835848457173
SCFD2,0.013507754019467803,0.013507754019467803
