PC,Explained_Variance_Ratio,Cumulative_Variance
PC1,0.2597344262757625,0.2597344262757625
PC2,0.13756838434486934,0.39730281062063183
PC3,0.08244283709466374,0.4797456477152956
PC4,0.06690615210518289,0.5466517998204785
PC5,0.043727263739932624,0.5903790635604111
PC6,0.0336803239883209,0.624059387548732
PC7,0.03218298370250316,0.6562423712512352
PC8,0.030747489942859033,0.6869898611940942
PC9,0.02919296899425371,0.7161828301883479
PC10,0.026537855244195847,0.7427206854325438
