Term,GSM544727,GSM544728,GSM544729,GSM544730,GSM544731,GSM544732,GSM544733,GSM544734,GSM544735,GSM544736,GSM544737,GSM544738,GSM544739,GSM544740
System A,1411.3751337711337,1439.1399629881516,1372.3698809451125,1367.008115796555,1351.7158241893585,1510.4635808526182,1431.1733727731344,1367.0034643784093,1471.7437304752157,1468.4297759525552,1405.2798055082912,1468.3202274131772,1382.2700427701375,1407.3537680166537
System B,841.6234423140086,854.1154527791023,851.627694454226,809.1411648547537,794.0337112337538,825.9647533628786,789.8548226094535,733.5849836699444,815.9878743258669,762.9963730118106,779.5692611767572,804.2705392320695,790.5363271157903,799.2822073205343
System C,1425.9719608654377,1374.7316412781065,1500.9491852706506,1463.6917525513127,1456.2712458394644,1428.096796181656,1394.6722549312108,1473.0905516021185,1438.0480959195465,1377.1725043072993,1440.3613678516313,1395.1276952940098,1457.3458673607256,1388.5250020546018
System D,-365.30747056219025,-361.7574123332761,-383.01293134007665,-414.5392056114615,-417.804187009664,-332.7876059995424,-372.1744916585503,-418.26335195582124,-354.0894091271157,-414.10765990742766,-407.37418574998446,-373.80750522503786,-346.3034894095472,-421.64838822049023
System E,1455.7077128758447,1666.584450858656,1590.691104017651,1518.169467246622,1489.5746550645654,1361.348123446336,1644.5576877670528,1356.0033087084366,1427.1273729756822,1574.0341667246712,1544.7776672936561,1462.4802677368443,1469.5347893537264,1692.0644788531
