System,Mean,Std,Min,Max,Median
System E,1518.0468037802032,102.36270089092348,1356.0033087084366,1692.0644788531,1503.8720611555937
System C,1429.575422950555,37.49550766675402,1374.7316412781065,1500.9491852706506,1433.0724460506012
System A,1418.1176204164647,46.60289304932576,1351.7158241893585,1510.4635808526182,1409.3644508938937
System B,803.7563291043537,32.27857127560913,733.5849836699444,854.1154527791023,801.7763732763019
System D,-384.49837815072755,29.451313208992403,-421.64838822049023,-332.7876059995424,-378.41021828255725
